,Unnamed: 0,№ брони,Номеров,Стоимость,Внесена предоплата,Способ оплаты,Дата бронирования,Заезд,Ночей,Выезд,Источник,Категория номера,Гостей,Гостиница,Разница до заезда (дни),Продолжительность пребывания (дни)
30,30,20230519-7492-197104400,1,21800.0,21800,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-05-03 18:25:34,2023-05-19 15:00:00,2,2023-05-21 12:00:00,Программа лояльности,Номер «Стандарт»,2,2,15,1
31,31,20220612-7492-142470043,1,20500.0,20500,Банк. карта: Банк Россия (банк. карта),2022-06-08 00:15:16,2022-06-12 15:00:00,1,2022-06-13 12:00:00,Официальный сайт,Номер «Студия»,2,2,4,0
32,32,20231104-7491-234586788,1,12000.0,12000,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-11-04 13:22:32,2023-11-04 15:00:00,1,2023-11-05 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,0,0
33,33,20220813-16563-140105080,1,26300.0,26300,Банк. карта: Банк Россия (банк. карта),2022-05-25 11:26:08,2022-08-13 15:00:00,1,2022-08-14 12:00:00,Официальный сайт,Номер «Студия»,2,4,80,0
34,34,20220430-7492-130227809,1,33100.0,33100,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-03-26 09:13:13,2022-04-30 15:00:00,3,2022-05-03 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,35,2
35,35,20231029-7491-229281727,1,54000.0,11160,Банк. карта: Банк Россия (банк. карта),2023-10-07 18:46:19,2023-10-29 15:00:00,5,2023-11-03 12:00:00,Официальный сайт,Номер «Стандарт»,3,3,21,4
36,36,20220227-6634-122849473,1,15770.0,15770,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-01-29 13:55:44,2022-02-27 15:00:00,2,2022-03-01 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,29,1
37,37,20240225-6634-241481138,1,38400.0,12800,Банк. карта: Банк Россия (банк. карта),2023-12-13 13:57:22,2024-02-25 15:00:00,3,2024-02-28 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,2,1,74,2
38,38,20240305-7491-232871559,1,12540.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-10-26 16:29:09,2024-03-05 15:00:00,2,2024-03-07 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,130,1
39,39,20230310-6634-187559827,1,11900.0,11900,Банк. карта: Банк Россия (банк. карта),2023-03-10 15:01:37,2023-03-10 15:00:00,1,2023-03-11 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,-1,0
40,40,20220412-6634-132798746,1,10600.0,10600,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-04-08 15:59:45,2022-04-12 15:00:00,2,2022-04-14 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,3,1
41,41,20230910-7491-216159756,1,54500.0,8600,Банк. карта: Банк Россия (банк. карта),2023-08-04 17:38:49,2023-09-10 15:00:00,6,2023-09-16 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,36,5
42,42,20230424-16563-195321334,1,56610.0,56610,Банк. карта: Банк Россия (банк. карта),2023-04-23 21:39:33,2023-04-24 15:00:00,3,2023-04-27 12:00:00,Официальный сайт,Номер «Студия»,2,4,0,2
43,43,20240129-7491-243167630,1,12540.0,12540,Внешняя система оплаты (С предоплатой),2023-12-24 16:03:39,2024-01-29 15:00:00,2,2024-01-31 12:00:00,Яндекс.Путешествия,Номер «Стандарт»,2,3,35,1
44,44,20230506-7492-186777674,1,20600.0,10300,Банк. карта: Банк Россия (банк. карта),2023-03-05 14:29:37,2023-05-06 15:00:00,2,2023-05-08 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,62,1
45,45,20221024-6634-167281718,1,7700.0,7700,Банк. карта: Банк Россия (банк. карта),2022-10-20 15:31:27,2022-10-24 15:00:00,1,2022-10-25 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,3,0
46,46,20230211-7491-181569461,1,26400.0,10200,Банк. карта: Банк Россия (банк. карта),2023-01-31 16:00:41,2023-02-11 15:00:00,3,2023-02-14 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,10,2
47,47,20231229-7491-231473895,1,84500.0,84500,Банк. карта: Банк Россия (банк. карта),2023-10-19 10:54:32,2023-12-29 15:00:00,4,2024-01-02 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,71,3
48,48,20220111-6634-119884659,1,52789.0,52789,Банк. карта: Банк Россия (банк. карта),2022-01-03 14:45:44,2022-01-11 15:00:00,8,2022-01-19 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,8,7
49,49,20220813-7492-152064127,1,13900.0,13900,Банк. карта: Банк Россия (банк. карта),2022-07-26 16:26:41,2022-08-13 15:00:00,1,2022-08-14 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,17,0
50,50,20220930-7492-162146599,1,24900.0,0,Внешняя система оплаты (С предоплатой),2022-09-15 15:38:49,2022-09-30 15:00:00,2,2022-10-02 12:00:00,Cuva,Номер «Стандарт»,2,2,14,1
51,51,20240108-7492-238175763,1,16540.0,8650,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-11-23 22:37:20,2024-01-08 15:00:00,2,2024-01-10 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,45,1
52,52,20220409-6634-132592351,1,8800.0,8800,Банк. карта: Банк Россия (банк. карта),2022-04-07 17:17:07,2022-04-09 15:00:00,1,2022-04-10 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,1,0
53,53,20230422-6634-194832360,1,11100.0,0,При заселении,2023-04-20 23:16:33,2023-04-22 15:00:00,1,2023-04-23 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,1,0
54,54,20220922-7491-163121045,1,25700.0,0,Внешняя система оплаты (С предоплатой),2022-09-21 15:15:08,2022-09-22 15:00:00,2,2022-09-24 12:00:00,ostrovok.ru,Номер «Стандарт»,2,3,0,1
55,55,20240117-7491-235305099,1,12920.0,12920,Банк. карта: Банк Россия (банк. карта),2023-11-08 16:24:07,2024-01-17 15:00:00,2,2024-01-19 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,69,1
56,56,20230408-7492-192025645,1,10000.0,10000,Банк. карта: Банк Россия (банк. карта),2023-04-05 11:30:01,2023-04-08 15:00:00,1,2023-04-09 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,3,0
57,57,20221209-7491-172474440,1,18860.0,10600,Банк. карта: Банк Россия (банк. карта),2022-11-24 14:23:56,2023-01-13 15:00:00,2,2023-01-15 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,50,1
58,58,20220218-7492-123952285,1,55140.0,55140,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-02-07 20:20:31,2022-02-18 15:00:00,3,2022-02-21 12:00:00,Официальный сайт,Номер «Студия»,4,2,10,2
59,59,20220820-6634-154922583,1,38300.0,38300,Банк. карта: Банк Россия (банк. карта),2022-08-09 18:28:39,2022-08-20 15:00:00,1,2022-08-21 12:00:00,Официальный сайт,Коттедж с 2 спальнями,2,1,10,0
60,60,20240109-6634-242243189,1,22990.0,22990,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-12-18 14:02:28,2024-01-09 15:00:00,3,2024-01-12 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,22,2
61,61,20231004-7492-227839909,1,18910.0,9030,Банк. карта: Банк Россия (банк. карта),2023-09-30 13:36:06,2023-10-04 15:00:00,2,2023-10-06 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,4,1
62,62,20231016-7491-221419073,1,36040.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-08-29 09:10:13,2023-10-16 15:00:00,4,2023-10-20 12:00:00,Официальный сайт,Номер «Стандарт»,3,3,48,3
63,63,20220707-7492-146033320,1,13900.0,13900,Банк. карта: Банк Россия (банк. карта),2022-06-26 23:08:30,2022-07-07 15:00:00,1,2022-07-08 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,10,0
64,64,20230217-6634-184117409,1,133400.0,133400,Банк. карта: Банк Россия (банк. карта),2023-02-16 09:25:53,2023-02-17 15:00:00,2,2023-02-19 12:00:00,Официальный сайт,Коттедж с 3 спальнями,4,1,1,1
65,65,20230627-7491-207225538,1,14400.0,14400,Внешняя система оплаты (С предоплатой),2023-06-26 10:55:20,2023-06-27 15:00:00,1,2023-06-28 12:00:00,Яндекс.Путешествия,Номер «Стандарт»,2,3,1,0
66,66,20221030-6634-157353139,1,73270.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2022-08-22 09:38:58,2022-10-30 15:00:00,6,2022-11-05 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,69,5
67,67,20220130-7491-121830894,1,12600.0,0,Гарантия банковской картой,2022-01-21 01:42:18,2022-01-30 15:00:00,2,2022-02-01 12:00:00,booking.com,Номер «Стандарт»,2,3,9,1
68,68,20230730-6634-214851864,1,21300.0,21300,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-07-30 07:58:45,2023-07-30 15:00:00,1,2023-07-31 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,0,0
69,69,20230504-7491-192750072,1,19700.0,9000,Банк. карта: Банк Россия (банк. карта),2023-04-09 14:10:16,2023-05-04 15:00:00,2,2023-05-06 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,25,1
70,70,20230214-7492-182371299,1,14200.0,14200,Внешняя система оплаты (С предоплатой),2023-02-05 16:33:36,2023-02-14 15:00:00,1,2023-02-15 12:00:00,Яндекс.Путешествия,Номер «Студия»,2,2,8,0
71,71,20220316-7492-120306296,1,14400.0,0,Гарантия банковской картой,2022-01-07 19:20:07,2022-03-16 15:00:00,2,2022-03-18 12:00:00,booking.com,Номер «Стандарт»,2,2,67,1
72,72,20231012-16563-228713954,1,16500.0,16500,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-10-04 21:51:42,2023-10-12 15:00:00,1,2023-10-13 12:00:00,Официальный сайт,Номер «Студия»,2,4,7,0
73,73,20231125-6634-236541926,1,8720.0,8720,Банк. карта: Банк Россия (банк. карта),2023-11-15 08:52:11,2023-11-25 15:00:00,1,2023-11-26 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,10,0
74,74,20230715-6634-210712566,1,23300.0,23300,Банк. карта: Банк Россия (банк. карта),2023-07-11 21:05:23,2023-07-15 15:00:00,1,2023-07-16 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,3,0
75,75,20230827-7492-218703510,1,29600.0,14800,Банк. карта: Банк Россия (банк. карта),2023-08-16 09:19:26,2023-08-27 15:00:00,2,2023-08-29 12:00:00,Официальный сайт,Номер «Стандарт»,3,2,11,1
76,76,20220409-6634-132436237,1,67260.0,67260,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-04-07 00:47:03,2022-04-09 15:00:00,2,2022-04-11 12:00:00,Официальный сайт,Коттедж с 3 спальнями,7,1,2,1
77,77,20220610-6634-123962016,1,16435.0,16435,Банк. карта: Банк Россия (банк. карта),2022-02-07 21:52:09,2022-06-10 15:00:00,3,2022-06-13 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,122,2
78,78,20220823-16563-152357125,1,73000.0,36500,Банк. карта: Банк Россия (банк. карта),2022-07-27 23:12:28,2022-08-23 15:00:00,2,2022-08-25 12:00:00,Официальный сайт,Номер «Студия»,4,4,26,1
79,79,20220216-7492-120847537,1,21480.0,10740,Банк. карта: Банк Россия (банк. карта),2022-01-13 11:29:46,2022-02-16 15:00:00,2,2022-02-18 12:00:00,Официальный сайт,Номер «Студия»,2,2,34,1
80,80,20230627-6634-207083912,1,46920.0,46920,Банк. карта: Банк Россия (банк. карта),2023-06-25 14:01:58,2023-06-27 15:00:00,3,2023-06-30 12:00:00,Официальный сайт,Номер «Люкс»,4,1,2,2
81,81,20231025-16563-231130119,1,76000.0,19000,Банк. карта: Банк Россия (банк. карта),2023-10-17 15:24:56,2023-10-25 15:00:00,4,2023-10-29 12:00:00,Официальный сайт,Номер «Студия»,2,4,7,3
82,82,20220214-6634-121913175,1,29070.0,29070,Банк. карта: Банк Россия (банк. карта),2022-01-21 16:15:33,2022-02-14 15:00:00,2,2022-02-16 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,4,1,23,1
83,83,20230623-16563-197224657,1,116800.0,0,Внешняя система оплаты (С предоплатой),2023-05-04 12:36:50,2023-06-23 15:00:00,4,2023-06-27 12:00:00,ostrovok.ru,Номер «Студия»,3,4,50,3
84,84,20220422-7491-135255404,1,12800.0,12800,Банк. карта: Банк Россия (банк. карта),2022-04-22 17:30:40,2022-04-22 15:00:00,1,2022-04-23 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,-1,0
85,85,20240121-6634-239973287,1,14630.0,14630,Банк. карта: Банк Россия (банк. карта),2023-12-04 11:30:16,2024-01-21 15:00:00,3,2024-01-24 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,48,2
86,86,20230816-6634-217880550,1,23300.0,23300,Банк. карта: Банк Россия (банк. карта),2023-08-12 12:30:22,2023-08-16 15:00:00,1,2023-08-17 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,4,0
87,87,20231112-6634-235955069,1,6800.0,6800,Банк. карта: Банк Россия (банк. карта),2023-11-12 00:08:59,2023-11-12 15:00:00,1,2023-11-13 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,0,0
88,88,20221020-16563-166491082,1,71400.0,23800,Банк. карта: Банк Россия (банк. карта),2022-10-14 23:41:19,2022-10-20 15:00:00,3,2022-10-23 12:00:00,Официальный сайт,Номер «Студия»,3,4,5,2
89,89,20231103-7492-232289343,1,49600.0,49600,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-10-23 18:10:38,2023-11-03 15:00:00,2,2023-11-05 12:00:00,Официальный сайт,Номер «Студия»,3,2,10,1
90,90,20230421-7491-193658922,1,9800.0,9800,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-04-14 12:48:41,2023-04-21 15:00:00,1,2023-04-22 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,7,0
91,91,20220624-6634-145053666,1,21600.0,21600,Банк. карта: Банк Россия (банк. карта),2022-06-21 16:50:47,2022-06-24 15:00:00,1,2022-06-25 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,2,0
92,92,20230924-7492-226603637,1,16800.0,16800,Банк. карта: Банк Россия (банк. карта),2023-09-24 09:40:55,2023-09-24 15:00:00,1,2023-09-25 12:00:00,Официальный сайт,Номер «Студия»,3,2,0,0
93,93,20221228-6634-175526211,1,41600.0,20800,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2022-12-16 22:53:09,2022-12-28 15:00:00,2,2022-12-30 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,3,1,11,1
94,94,20230329-6634-190775533,1,11700.0,11700,Банк. карта: Банк Россия (банк. карта),2023-03-29 01:47:43,2023-04-01 15:00:00,1,2023-04-02 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,3,0
95,95,20230301-6634-185115650,1,9690.0,9690,Банк. карта: Банк Россия (банк. карта),2023-02-22 13:34:17,2023-03-01 15:00:00,2,2023-03-03 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,7,1
96,96,20230911-6634-216513835,1,56525.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-08-06 15:14:47,2023-09-11 15:00:00,6,2023-09-17 12:00:00,Официальный сайт,Номер «Люкс»,1,1,35,5
97,97,20231217-7491-238043059,1,6600.0,6600,Банк. карта: Банк Россия (банк. карта),2023-11-23 11:09:01,2023-12-17 15:00:00,1,2023-12-18 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,24,0
98,98,20230622-7492-201858041,1,21600.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-05-30 11:58:21,2023-06-22 15:00:00,1,2023-06-23 12:00:00,Бронирование из экстранета,Номер «Студия»,2,2,23,0
99,99,20221105-7492-168932537,1,25700.0,25700,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2022-10-31 20:58:56,2022-11-05 15:00:00,3,2022-11-08 12:00:00,Официальный сайт,Номер «Стандарт»,1,2,4,2
100,100,20230811-6634-217578222,1,11400.0,11400,Банк. карта: Банк Россия (банк. карта),2023-08-11 00:31:36,2023-08-11 15:00:00,1,2023-08-12 12:00:00,Официальный сайт,Номер «Стандарт»,1,1,0,0
101,101,20220703-7491-144854423,1,13700.0,13700,Банк. карта: Банк Россия (банк. карта),2022-06-20 18:08:30,2022-07-03 15:00:00,1,2022-07-04 12:00:00,Официальный сайт,Номер «Стандарт»,4,3,12,0
102,102,20230715-6634-200890151,1,149100.0,0,Отложенная электронная оплата: Банк Россия (банк. карта),2023-05-24 23:13:33,2023-07-15 15:00:00,7,2023-07-22 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,4,1,51,6
103,103,20220407-7492-130636980,1,15200.0,15200,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-03-28 22:57:12,2022-04-07 15:00:00,2,2022-04-09 12:00:00,Официальный сайт,Номер «Стандарт»,1,2,9,1
104,104,20220730-7491-144550877,1,13700.0,13700,Банк. карта: Банк Россия (банк. карта),2022-06-19 01:15:31,2022-07-30 15:00:00,1,2022-07-31 12:00:00,Официальный сайт,Номер «Стандарт»,2,3,41,0
105,105,20230925-7491-226003376,1,27880.0,27880,Внешняя система оплаты (С предоплатой),2023-09-21 08:40:02,2023-09-25 15:00:00,3,2023-09-28 12:00:00,Яндекс.Путешествия,Номер «Стандарт»,3,3,4,2
106,106,20230730-6634-214338106,1,69300.0,14100,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-07-27 17:11:03,2023-07-30 15:00:00,5,2023-08-04 12:00:00,Официальный сайт,Номер «Стандарт»,2,1,2,4
107,107,20220611-16563-140947024,1,47600.0,23800,Банк. карта: Банк Россия (банк. карта),2022-05-30 15:33:09,2022-06-11 15:00:00,2,2022-06-13 12:00:00,Официальный сайт,Номер «Студия»,2,4,11,1
108,108,20230704-16563-186233464,1,85600.0,21400,Банк. карта: Банк Россия (банк. карта),2023-03-01 21:38:53,2023-07-04 15:00:00,4,2023-07-08 12:00:00,Официальный сайт,Номер «Студия»,1,4,124,3
109,109,20220425-6634-123347896,1,14850.0,0,Гарантия банковской картой,2022-02-02 18:35:05,2022-04-25 15:00:00,3,2022-04-28 12:00:00,booking.com (Booking.com),Номер «Стандарт»,2,1,81,2
110,110,20230512-6634-198344021,1,28300.0,28300,Банк. карта: Банк Россия (банк. карта),2023-05-11 10:47:58,2023-05-12 15:00:00,2,2023-05-14 12:00:00,Официальный сайт,Апартаменты с 2 спальнями с отдельным входом,4,1,1,1
111,111,20220522-7491-134072410,1,24840.0,24840,Банк. карта [Кешбэк. МИР]: Эквайринг TravelLine Pro (Банк. карта),2022-04-15 10:07:05,2022-05-22 15:00:00,4,2022-05-26 12:00:00,Официальный сайт,Номер «Стандарт»,1,3,37,3
112,112,20221009-7492-165666110,1,8900.0,0,При заселении,2022-10-09 15:47:40,2022-10-09 15:00:00,1,2022-10-10 12:00:00,Официальный сайт,Номер «Стандарт»,2,2,-1,0
113,113,20220823-16563-156541554,1,52600.0,23800,Банк. карта: Банк Россия (банк. карта),2022-08-17 18:01:37,2022-08-23 15:00:00,2,2022-08-25 12:00:00,Официальный сайт,Номер «Студия»,2,4,5,1
114,114,20231223-6634-238664970,1,29700.0,29700,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-11-26 16:29:29,2023-12-23 15:00:00,1,2023-12-24 12:00:00,Официальный сайт,Номер «Люкс»,3,1,26,0
115,115,20230823-7492-217394083,2,69800.0,34900,Система быстрых платежей: Эквайринг ComfortBooking (Система быстрых платежей),2023-08-10 10:48:57,2023-08-23 15:00:00,2,2023-08-25 12:00:00,Официальный сайт,Номер «Стандарт»,3,2,13,1
116,116,20230615-7491-203240400,1,14400.0,14400,Внешняя система оплаты (С предоплатой),2023-06-06 14:15:00,2023-06-15 15:00:00,1,2023-06-16 12:00:00,Яндекс.Путешествия,Номер «Стандарт»,2,3,9,0
